filename,artist,global_cosine_sim,global_anomaly_score
Romanticism/francisco-goya_farewell-1799.jpg,francisco goya,0.5252813,0.4747187
Romanticism/john-singleton-copley_the-major-peirson-s-death-1784.jpg,john singleton copley,0.6044055,0.39559448
Romanticism/alfred-stevens_widow.jpg,alfred stevens,0.57185066,0.42814934
Romanticism/pavel-svinyin_an-indian-with-a-scalp.jpg,pavel svinyin,0.5804488,0.4195512
Romanticism/maxim-vorobiev_view-from-the-terrace-of-the-elagin-palace-1823.jpg,maxim vorobiev,0.502117,0.49788302
Romanticism/gustave-dore_battle-of-lepanto-in-1571-1877.jpg,gustave dore,0.44977224,0.55022776
Romanticism/eugene-delacroix_the-execution-of-the-doge-marino-faliero-1826(1).jpg,eugene delacroix,0.6164207,0.3835793
Romanticism/joseph-wright_study-of-the-interior-of-glass-house.jpg,joseph wright,0.5371256,0.4628744
Romanticism/taras-shevchenko_bathsheba-1860.jpg,taras shevchenko,0.6627461,0.33725393
Romanticism/thomas-cole_a-view-near-tivoli-morning-1832.jpg,thomas cole,0.57793564,0.42206436
Romanticism/albert-bierstadt_portrait-of-a-horse-1869.jpg,albert bierstadt,0.3845812,0.6154188
Romanticism/john-atkinson-grimshaw_a-golden-beam.jpg,john atkinson grimshaw,0.3907919,0.6092081
Romanticism/sir-lawrence-alma-tadema_a-crown.jpg,sir lawrence alma tadema,0.6542228,0.3457772
Romanticism/theodore-gericault_portrait-of-alfred-and-elizabeth-dedreux-1819.jpg,theodore gericault,0.64397824,0.35602176
Romanticism/gustave-dore_samson-carries-away-the-gates-of-gaza.jpg,gustave dore,0.46319208,0.5368079
Romanticism/orest-kiprensky_portrait-of-prince-e-g-gagarin-as-a-child-1817.jpg,orest kiprensky,0.500137,0.49986303
Romanticism/eugene-delacroix_chopin(1).jpg,eugene delacroix,0.53474486,0.46525514
Romanticism/gustave-dore_don-quixote-98.jpg,gustave dore,0.5717663,0.42823368
Romanticism/francisco-goya_goya-attended-by-doctor-arrieta-1820.jpg,francisco goya,0.6271559,0.3728441
Romanticism/fyodor-solntsev_on-the-iconographic-image-of-the-saviour-the-nereditskaya-church.jpg,fyodor solntsev,0.4475199,0.5524801
Romanticism/osman-hamdi_the-musician-girl-1880.jpg,osman hamdi,0.53629166,0.46370834
Romanticism/sir-lawrence-alma-tadema_death-of-the-pharaoh-firstborn-son-1872.jpg,sir lawrence alma tadema,0.5926111,0.40738893
Romanticism/theodore-gericault_two-post-horses.jpg,theodore gericault,0.54386485,0.45613515
Romanticism/sir-lawrence-alma-tadema_sculptors-in-ancient-rome-1877.jpg,sir lawrence alma tadema,0.6694896,0.33051038
Romanticism/george-frederick-watts_rachel-and-laura-gurney.jpg,george frederick watts,0.6401887,0.3598113
Romanticism/ivan-aivazovsky_calm-sea-rocky-coast-1860.jpg,ivan aivazovsky,0.46913123,0.53086877
Romanticism/alfred-stevens_study-of-the-role.jpg,alfred stevens,0.58962476,0.41037524
Romanticism/paul-cezanne_paul-alexis-reading-a-manuscript-to-emile-zola.jpg,paul cezanne,0.6433278,0.35667223
Romanticism/john-atkinson-grimshaw_under-the-harvest-moon-1872.jpg,john atkinson grimshaw,0.5910028,0.40899718
Romanticism/theodore-gericault_presumed-portrait-of-pierre-paul-royer-collard.jpg,theodore gericault,0.57555383,0.42444617
Romanticism/gustave-dore_bertram-de-born.jpg,gustave dore,0.5246839,0.4753161
