filename,artist,lof_raw_score,lof_anomaly_score,lof_flag
Impressionism/claude-monet_water-lily-pond-at-giverny-1919.jpg,claude monet,1.0089692,0.16319397,0
Impressionism/claude-monet_dandelions.jpg,claude monet,1.1040998,0.60187465,0
Impressionism/claude-monet_the-tea-set.jpg,claude monet,1.0699382,0.44434357,0
Impressionism/edgar-degas_seated-bather-1899.jpg,edgar degas,1.0088727,0.16274925,0
Impressionism/victor-brauner_theo-brauner.jpg,victor brauner,1.037645,0.29542822,0
Impressionism/claude-monet_cliffs-near-pourville.jpg,claude monet,0.9943205,0.095643744,0
Impressionism/cornelis-vreedenburgh_view-on-the-amstel.jpg,cornelis vreedenburgh,1.0108448,0.1718432,0
Impressionism/edouard-manet_lady-in-a-fur.jpg,edouard manet,1.0312111,0.26575947,0
Impressionism/claude-monet_zuiderkerk-in-amsterdam.jpg,claude monet,0.99581164,0.10251987,0
Impressionism/william-merritt-chase_sunlight-and-shadow-shinnecock-hills.jpg,william merritt chase,0.9860767,0.057628673,0
Impressionism/pierre-auguste-renoir_the-swimmer-sitting.jpg,pierre auguste renoir,1.0001496,0.12252377,0
Impressionism/guy-rose_the-bridge-at-vernon.jpg,guy rose,1.0269078,0.24591526,0
Impressionism/santiago-rusinol_la-butte.jpg,santiago rusinol,1.0321957,0.27029958,0
Impressionism/edgar-degas_the-tub-1886-1.jpg,edgar degas,1.02638,0.24348111,0
Impressionism/childe-hassam_lady-in-the-park-aka-in-the-garden.jpg,childe hassam,1.0256265,0.24000691,0
Impressionism/camille-pissarro_pink-peonies-1873.jpg,camille pissarro,1.068842,0.43928894,0
Impressionism/wilhelm-leibl_m-dchen-am-fenster-1899.jpg,wilhelm leibl,0.9989087,0.1168015,0
Impressionism/nicolae-vermont_reading-1919.jpg,nicolae vermont,0.9873978,0.06372063,0
Impressionism/max-slevogt_the-dancer-marietta-di-rigardo.jpg,max slevogt,1.0229352,0.22759597,0
Impressionism/zinaida-serebriakova_in-the-studio-braz-france-1906.jpg,zinaida serebriakova,1.0042393,0.14138289,0
Impressionism/pierre-auguste-renoir_wilhelm-muhlfeld-1910.jpg,pierre auguste renoir,0.9943261,0.09566958,0
Impressionism/robert-julian-onderdonk_hudson-river-view-1912.jpg,robert julian onderdonk,1.0063462,0.15109856,0
Impressionism/giuseppe-de-nittis_breakfast-in-the-garden-1883.jpg,giuseppe de nittis,1.0457971,0.33302054,0
Impressionism/camille-pissarro_old-wingrower-in-moret-1902.jpg,camille pissarro,1.0189086,0.20902821,0
Impressionism/pierre-auguste-renoir_algerian-woman-seated-1882.jpg,pierre auguste renoir,0.9936293,0.092456214,0
Impressionism/pierre-auguste-renoir_roses-in-a-vase-1917.jpg,pierre auguste renoir,1.0044547,0.14237621,0
Impressionism/eugene-boudin_laundresses-on-the-banks-of-the-touques-1.jpg,eugene boudin,1.0257447,0.24055168,0
Impressionism/alfred-sisley_the-island-of-saint-denis-1872.jpg,alfred sisley,0.9930047,0.089575976,0
Impressionism/nicolae-vermont_summer-day-1895.jpg,nicolae vermont,1.00552,0.14728849,0
Impressionism/pierre-auguste-renoir_girl-and-cat-1882.jpg,pierre auguste renoir,1.0070493,0.15434079,0
Impressionism/pierre-auguste-renoir_marie-louise-durand-ruel-1898.jpg,pierre auguste renoir,1.03388,0.27806652,0
Impressionism/john-henry-twachtman_the-portico.jpg,john henry twachtman,1.0331887,0.2748787,0
Impressionism/camille-pissarro_the-pont-neuf-afternoon-1901.jpg,camille pissarro,0.98358697,0.046147574,0
Impressionism/childe-hassam_home-sweet-home-cottage.jpg,childe hassam,1.0676491,0.4337879,0
Impressionism/berthe-morisot_the-violin.jpg,berthe morisot,1.0658422,0.42545533,0
Impressionism/pierre-auguste-renoir_nude-arranging-her-hair-1885.jpg,pierre auguste renoir,1.0042696,0.14152251,0
Impressionism/valentin-serov_portrait-of-yevdokia-morozova-detail-1908.jpg,valentin serov,1.0089365,0.16304335,0
Impressionism/edgar-degas_alexander-and-bucephalus-detail-1861-1.jpg,edgar degas,0.9952121,0.09975507,0
Impressionism/arthur-verona_neagoe-basarab-study.jpg,arthur verona,1.0093391,0.16489974,0
Impressionism/edgar-degas_dancer-seated-study-1872.jpg,edgar degas,1.00161,0.12925835,0
Impressionism/claude-monet_boats-in-the-port-of-honfleur-1.jpg,claude monet,1.014159,0.18712586,0
Impressionism/lovis-corinth_red-and-yellow-tulips-1918.jpg,lovis corinth,1.0084819,0.16094673,0
Impressionism/istvan-nagy_little-girl-with-yellow-babushka-1917.jpg,istvan nagy,1.0094764,0.16553302,0
Impressionism/pierre-auguste-renoir_portrait-of-stephane-mallarme-1892.jpg,pierre auguste renoir,1.0198057,0.21316482,0
Impressionism/camille-pissarro_laundry-and-mill-at-osny-1884.jpg,camille pissarro,1.0345409,0.28111413,0
Impressionism/alfred-sisley_the-moret-bridge-and-mills-under-snow-1890.jpg,alfred sisley,0.99430925,0.0955918,0
Impressionism/claude-monet_customs-house-at-varengaville.jpg,claude monet,1.0540466,0.371062,0
Impressionism/pierre-auguste-renoir_young-girls-by-the-water.jpg,pierre auguste renoir,1.0078781,0.15816242,0
Impressionism/claude-monet_river-thawing-near-vetheuil.jpg,claude monet,1.0039204,0.1399124,0
Impressionism/claude-monet_the-manneport.jpg,claude monet,0.9962081,0.10434795,0
Impressionism/valentin-serov_mika-morozov-1901.jpg,valentin serov,1.0271065,0.24683164,0
Impressionism/pierre-auguste-renoir_young-girl-reading-1904.jpg,pierre auguste renoir,1.0090071,0.16336878,0
Impressionism/camille-pissarro_road-at-eragny-winter-1885.jpg,camille pissarro,1.0159231,0.19526112,0
Impressionism/childe-hassam_flower-store-and-dairy-store.jpg,childe hassam,1.0313275,0.266296,0
Impressionism/willard-metcalf_gloucester-harbour-sun.jpg,willard metcalf,1.0401669,0.30705744,0
Impressionism/alfred-sisley_a-ponte.jpg,alfred sisley,0.99502456,0.09889037,0
Impressionism/gustave-caillebotte_the-park-at-yerres.jpg,gustave caillebotte,1.0032588,0.13686147,0
Impressionism/giovanni-boldini_portrait-of-sarah-bernhardt-1.jpg,giovanni boldini,1.0153074,0.19242184,0
Impressionism/nikolay-bogdanov-belsky_three-boys-in-the-wood.jpg,nikolay bogdanov belsky,1.0419691,0.31536806,0
Impressionism/henri-martin_young-peasant-girl-and-her-dog.jpg,henri martin,1.041537,0.3133759,0
Impressionism/eugene-boudin_trouville-beach-scene-1873.jpg,eugene boudin,0.995804,0.10248469,0
Impressionism/zinaida-serebriakova_green-autumn-1908.jpg,zinaida serebriakova,1.0950986,0.5603672,0
Impressionism/mary-cassatt_a-kiss-for-baby-anne-no-3-1897.jpg,mary cassatt,1.0204366,0.21607447,0
Impressionism/john-singer-sargent_venice-sailing-boat.jpg,john singer sargent,0.9922802,0.086235076,0
Impressionism/william-merritt-chase_dorothy-1.jpg,william merritt chase,1.0145104,0.18874642,0
Impressionism/lucian-grigorescu_prim-var-la-balcic-1936.jpg,lucian grigorescu,1.0243745,0.23423325,0
Impressionism/camille-pissarro_lovers-seated-at-the-foot-of-a-willow-tree-1901.jpg,camille pissarro,1.0788273,0.48533425,0
Impressionism/pierre-auguste-renoir_seated-bather-in-a-landscape-1900.jpg,pierre auguste renoir,1.0078142,0.15786777,0
Impressionism/camille-pissarro_marketplace-gisors-1891.jpg,camille pissarro,1.0490347,0.34795028,0
Impressionism/konstantin-makovsky_portrait-of-the-girl.jpg,konstantin makovsky,1.063657,0.41537902,0
Impressionism/edgar-degas_after-the-bath-7.jpg,edgar degas,1.0160663,0.19592133,0
Impressionism/mary-cassatt_a-woman-and-child-in-the-driving-seat-1881.jpg,mary cassatt,1.0174258,0.2021903,0
Impressionism/claude-monet_boats-at-rouen.jpg,claude monet,1.0165371,0.19809215,0
Impressionism/childe-hassam_seascape.jpg,childe hassam,1.0295753,0.25821626,0
Impressionism/alfred-sisley_the-banks-of-the-loing-1892.jpg,alfred sisley,0.9926737,0.088049695,0
Impressionism/william-merritt-chase_landscape-a-shinnecock-vale.jpg,william merritt chase,1.0633132,0.41379365,0
Impressionism/leon-dabo_on-the-hillside.jpg,leon dabo,1.0129169,0.18139838,0
Impressionism/eugene-boudin_fervaques-a-village-street-1881.jpg,eugene boudin,0.9859268,0.056937404,0
Impressionism/julian-alden-weir_the-wharves-nassau-1913.jpg,julian alden weir,1.0831963,0.50548136,0
Impressionism/frederic-remington_what-an-unbranded-cow-has-cost-1895.jpg,frederic remington,1.0219781,0.22318286,0
Impressionism/pierre-auguste-renoir_still-life-with-anemones.jpg,pierre auguste renoir,1.0133879,0.1835703,0
Impressionism/william-merritt-chase_near-the-sea-aka-shinnecock.jpg,william merritt chase,1.0010993,0.12690336,0
Impressionism/mikhail-nesterov_a-firtree-1890.jpg,mikhail nesterov,0.99884987,0.11653021,0
Impressionism/abdullah-suriosubroto_landscape-mountain.jpg,abdullah suriosubroto,1.0014706,0.12861517,0
Impressionism/eugene-boudin_rotterdam-the-pont-de-la-bourse-1876.jpg,eugene boudin,0.99501675,0.09885436,0
Impressionism/t.-c.-steele_whitewater-river.jpg,t. c. steele,0.9970347,0.10815996,0
Impressionism/claude-monet_the-church-at-varengeville.jpg,claude monet,0.99701244,0.10805716,0
Impressionism/max-liebermann_terrace-overlooking-the-flower-garden-in-wannsee-1918.jpg,max liebermann,1.025683,0.24026749,0
Impressionism/micaela-eleutheriade_mangalia.jpg,micaela eleutheriade,0.990013,0.0757803,0
Impressionism/edgar-degas_laundry-girls-ironing-1884-1.jpg,edgar degas,0.98149806,0.036514897,0
Impressionism/john-henry-twachtman_beach-at-squam.jpg,john henry twachtman,1.0083125,0.16016558,0
Impressionism/henri-martin_fountain-in-the-garden-at-luxembourg.jpg,henri martin,1.001775,0.13001914,0
Impressionism/childe-hassam_marche-st-pierre-montmartre.jpg,childe hassam,1.0097058,0.16659068,0
Impressionism/joaquã­n-sorolla_reservoir-at-the-alcazin-seville-1910.jpg,joaquã­n sorolla,1.0416034,0.31368208,0
