filename,artist,gmm_neg_loglik,gmm_anomaly_score
Impressionism/claude-monet_water-lily-pond-at-giverny-1919.jpg,claude monet,-1517.8515427795792,0.3470102253191979
Impressionism/claude-monet_dandelions.jpg,claude monet,-1168.959437126192,0.4267865317607641
Impressionism/claude-monet_the-tea-set.jpg,claude monet,510.3539408043416,0.8107717709748097
Impressionism/edgar-degas_seated-bather-1899.jpg,edgar degas,-981.8670680135392,0.46956634227914146
Impressionism/victor-brauner_theo-brauner.jpg,victor brauner,-1532.0620757844101,0.34376090033499307
Impressionism/claude-monet_cliffs-near-pourville.jpg,claude monet,-2633.8766224261676,0.09182428872821555
Impressionism/cornelis-vreedenburgh_view-on-the-amstel.jpg,cornelis vreedenburgh,-1683.6493605285127,0.30909954375960363
Impressionism/edouard-manet_lady-in-a-fur.jpg,edouard manet,-1430.2058603854528,0.3670509447956666
Impressionism/claude-monet_zuiderkerk-in-amsterdam.jpg,claude monet,-2684.997170231732,0.08013526389470724
Impressionism/william-merritt-chase_sunlight-and-shadow-shinnecock-hills.jpg,william merritt chase,-2458.905659993275,0.13183246572975982
Impressionism/pierre-auguste-renoir_the-swimmer-sitting.jpg,pierre auguste renoir,-1516.0635824827457,0.3474190533386179
Impressionism/guy-rose_the-bridge-at-vernon.jpg,guy rose,-1825.7263640950762,0.2766127709402553
Impressionism/santiago-rusinol_la-butte.jpg,santiago rusinol,-1299.2184800039731,0.39700200768292015
Impressionism/edgar-degas_the-tub-1886-1.jpg,edgar degas,-778.7842379419435,0.5160024691570235
Impressionism/childe-hassam_lady-in-the-park-aka-in-the-garden.jpg,childe hassam,-1273.8724745121604,0.40279752632154847
Impressionism/camille-pissarro_pink-peonies-1873.jpg,camille pissarro,-1346.8778771518505,0.38610439604287167
Impressionism/wilhelm-leibl_m-dchen-am-fenster-1899.jpg,wilhelm leibl,-906.7492884272195,0.486742480421521
Impressionism/nicolae-vermont_reading-1919.jpg,nicolae vermont,-1129.7139430507816,0.43576025318087847
