filename,artist,ae_recon_error,ae_anomaly_score
Impressionism/claude-monet_water-lily-pond-at-giverny-1919.jpg,claude monet,0.024399621,0.09079089
Impressionism/claude-monet_dandelions.jpg,claude monet,0.04528878,0.21704058
Impressionism/claude-monet_the-tea-set.jpg,claude monet,0.054245252,0.27117163
Impressionism/edgar-degas_seated-bather-1899.jpg,edgar degas,0.029758623,0.12317957
Impressionism/victor-brauner_theo-brauner.jpg,victor brauner,0.04266685,0.20119418
Impressionism/claude-monet_cliffs-near-pourville.jpg,claude monet,0.022466227,0.079105854
Impressionism/cornelis-vreedenburgh_view-on-the-amstel.jpg,cornelis vreedenburgh,0.024657523,0.09234959
Impressionism/edouard-manet_lady-in-a-fur.jpg,edouard manet,0.042142138,0.19802295
Impressionism/claude-monet_zuiderkerk-in-amsterdam.jpg,claude monet,0.020241126,0.06565781
Impressionism/william-merritt-chase_sunlight-and-shadow-shinnecock-hills.jpg,william merritt chase,0.018645111,0.056011833
Impressionism/pierre-auguste-renoir_the-swimmer-sitting.jpg,pierre auguste renoir,0.033079747,0.14325175
Impressionism/guy-rose_the-bridge-at-vernon.jpg,guy rose,0.027778758,0.11121368
Impressionism/santiago-rusinol_la-butte.jpg,santiago rusinol,0.0465602,0.2247248
Impressionism/edgar-degas_the-tub-1886-1.jpg,edgar degas,0.04208003,0.19764757
Impressionism/childe-hassam_lady-in-the-park-aka-in-the-garden.jpg,childe hassam,0.05589915,0.28116745
Impressionism/camille-pissarro_pink-peonies-1873.jpg,camille pissarro,0.03521628,0.15616451
Impressionism/wilhelm-leibl_m-dchen-am-fenster-1899.jpg,wilhelm leibl,0.041839805,0.1961957
Impressionism/nicolae-vermont_reading-1919.jpg,nicolae vermont,0.034326643,0.15078773
Impressionism/max-slevogt_the-dancer-marietta-di-rigardo.jpg,max slevogt,0.047409393,0.22985713
Impressionism/zinaida-serebriakova_in-the-studio-braz-france-1906.jpg,zinaida serebriakova,0.048697032,0.23763935
Impressionism/pierre-auguste-renoir_wilhelm-muhlfeld-1910.jpg,pierre auguste renoir,0.030765247,0.1292634
Impressionism/robert-julian-onderdonk_hudson-river-view-1912.jpg,robert julian onderdonk,0.032271426,0.13836643
Impressionism/giuseppe-de-nittis_breakfast-in-the-garden-1883.jpg,giuseppe de nittis,0.051755935,0.25612673
Impressionism/camille-pissarro_old-wingrower-in-moret-1902.jpg,camille pissarro,0.029893408,0.12399418
Impressionism/pierre-auguste-renoir_algerian-woman-seated-1882.jpg,pierre auguste renoir,0.025297921,0.096220024
Impressionism/pierre-auguste-renoir_roses-in-a-vase-1917.jpg,pierre auguste renoir,0.034425538,0.15138543
Impressionism/eugene-boudin_laundresses-on-the-banks-of-the-touques-1.jpg,eugene boudin,0.054255813,0.27123547
Impressionism/alfred-sisley_the-island-of-saint-denis-1872.jpg,alfred sisley,0.027253106,0.10803675
Impressionism/nicolae-vermont_summer-day-1895.jpg,nicolae vermont,0.024258314,0.08993685
Impressionism/pierre-auguste-renoir_girl-and-cat-1882.jpg,pierre auguste renoir,0.04031214,0.18696283
Impressionism/pierre-auguste-renoir_marie-louise-durand-ruel-1898.jpg,pierre auguste renoir,0.033811115,0.14767198
Impressionism/john-henry-twachtman_the-portico.jpg,john henry twachtman,0.024257472,0.08993176
Impressionism/camille-pissarro_the-pont-neuf-afternoon-1901.jpg,camille pissarro,0.017693127,0.050258234
Impressionism/childe-hassam_home-sweet-home-cottage.jpg,childe hassam,0.046557054,0.22470577
Impressionism/berthe-morisot_the-violin.jpg,berthe morisot,0.05934747,0.30200836
Impressionism/pierre-auguste-renoir_nude-arranging-her-hair-1885.jpg,pierre auguste renoir,0.035670705,0.15891096
Impressionism/valentin-serov_portrait-of-yevdokia-morozova-detail-1908.jpg,valentin serov,0.03470896,0.15309839
Impressionism/edgar-degas_alexander-and-bucephalus-detail-1861-1.jpg,edgar degas,0.054709725,0.27397883
Impressionism/arthur-verona_neagoe-basarab-study.jpg,arthur verona,0.043058574,0.2035617
Impressionism/edgar-degas_dancer-seated-study-1872.jpg,edgar degas,0.047016557,0.22748291
Impressionism/claude-monet_boats-in-the-port-of-honfleur-1.jpg,claude monet,0.023767585,0.08697099
Impressionism/lovis-corinth_red-and-yellow-tulips-1918.jpg,lovis corinth,0.031453107,0.13342068
Impressionism/istvan-nagy_little-girl-with-yellow-babushka-1917.jpg,istvan nagy,0.027411245,0.10899251
Impressionism/pierre-auguste-renoir_portrait-of-stephane-mallarme-1892.jpg,pierre auguste renoir,0.02710509,0.107142165
Impressionism/camille-pissarro_laundry-and-mill-at-osny-1884.jpg,camille pissarro,0.019625532,0.061937287
Impressionism/alfred-sisley_the-moret-bridge-and-mills-under-snow-1890.jpg,alfred sisley,0.027961973,0.112321
Impressionism/claude-monet_customs-house-at-varengaville.jpg,claude monet,0.03473557,0.1532592
Impressionism/pierre-auguste-renoir_young-girls-by-the-water.jpg,pierre auguste renoir,0.037501253,0.16997442
Impressionism/claude-monet_river-thawing-near-vetheuil.jpg,claude monet,0.026730724,0.10487958
Impressionism/claude-monet_the-manneport.jpg,claude monet,0.019438837,0.06080894
Impressionism/valentin-serov_mika-morozov-1901.jpg,valentin serov,0.047362775,0.22957538
Impressionism/pierre-auguste-renoir_young-girl-reading-1904.jpg,pierre auguste renoir,0.02849022,0.11551361
Impressionism/camille-pissarro_road-at-eragny-winter-1885.jpg,camille pissarro,0.031247586,0.13217856
Impressionism/childe-hassam_flower-store-and-dairy-store.jpg,childe hassam,0.060739733,0.31042293
Impressionism/willard-metcalf_gloucester-harbour-sun.jpg,willard metcalf,0.029044904,0.118866004
Impressionism/alfred-sisley_a-ponte.jpg,alfred sisley,0.020160446,0.0651702
Impressionism/gustave-caillebotte_the-park-at-yerres.jpg,gustave caillebotte,0.03148485,0.13361253
Impressionism/giovanni-boldini_portrait-of-sarah-bernhardt-1.jpg,giovanni boldini,0.042512465,0.20026113
Impressionism/nikolay-bogdanov-belsky_three-boys-in-the-wood.jpg,nikolay bogdanov belsky,0.041509368,0.19419861
Impressionism/henri-martin_young-peasant-girl-and-her-dog.jpg,henri martin,0.04799291,0.23338379
Impressionism/eugene-boudin_trouville-beach-scene-1873.jpg,eugene boudin,0.024116084,0.08907725
Impressionism/zinaida-serebriakova_green-autumn-1908.jpg,zinaida serebriakova,0.062679894,0.32214886
Impressionism/mary-cassatt_a-kiss-for-baby-anne-no-3-1897.jpg,mary cassatt,0.036779072,0.1656097
Impressionism/john-singer-sargent_venice-sailing-boat.jpg,john singer sargent,0.03362095,0.14652267
Impressionism/william-merritt-chase_dorothy-1.jpg,william merritt chase,0.038570397,0.17643608
Impressionism/lucian-grigorescu_prim-var-la-balcic-1936.jpg,lucian grigorescu,0.023847565,0.08745437
Impressionism/camille-pissarro_lovers-seated-at-the-foot-of-a-willow-tree-1901.jpg,camille pissarro,0.03053345,0.12786247
Impressionism/pierre-auguste-renoir_seated-bather-in-a-landscape-1900.jpg,pierre auguste renoir,0.034004994,0.14884375
Impressionism/camille-pissarro_marketplace-gisors-1891.jpg,camille pissarro,0.029838681,0.123663425
Impressionism/konstantin-makovsky_portrait-of-the-girl.jpg,konstantin makovsky,0.033150245,0.14367782
Impressionism/edgar-degas_after-the-bath-7.jpg,edgar degas,0.024880804,0.09369905
Impressionism/mary-cassatt_a-woman-and-child-in-the-driving-seat-1881.jpg,mary cassatt,0.04540756,0.21775848
Impressionism/claude-monet_boats-at-rouen.jpg,claude monet,0.011110196,0.010472378
