filename,artist,ks_mean_d,ks_n_sig
Impressionism/claude-monet_water-lily-pond-at-giverny-1919.jpg,claude monet,0.246368253968254,6
Impressionism/claude-monet_dandelions.jpg,claude monet,0.3005047619047619,14
Impressionism/claude-monet_the-tea-set.jpg,claude monet,0.31191111111111103,16
Impressionism/edgar-degas_seated-bather-1899.jpg,edgar degas,0.29103809523809526,10
Impressionism/victor-brauner_theo-brauner.jpg,victor brauner,0.2788253968253968,11
Impressionism/claude-monet_cliffs-near-pourville.jpg,claude monet,0.3141079365079365,17
Impressionism/cornelis-vreedenburgh_view-on-the-amstel.jpg,cornelis vreedenburgh,0.2789555555555555,13
Impressionism/edouard-manet_lady-in-a-fur.jpg,edouard manet,0.28565079365079366,14
Impressionism/claude-monet_zuiderkerk-in-amsterdam.jpg,claude monet,0.3067492063492063,16
Impressionism/william-merritt-chase_sunlight-and-shadow-shinnecock-hills.jpg,william merritt chase,0.2937047619047619,13
Impressionism/pierre-auguste-renoir_the-swimmer-sitting.jpg,pierre auguste renoir,0.30594603174603174,17
Impressionism/guy-rose_the-bridge-at-vernon.jpg,guy rose,0.2976825396825397,16
Impressionism/santiago-rusinol_la-butte.jpg,santiago rusinol,0.2786984126984127,12
Impressionism/edgar-degas_the-tub-1886-1.jpg,edgar degas,0.3095428571428572,13
Impressionism/childe-hassam_lady-in-the-park-aka-in-the-garden.jpg,childe hassam,0.28730158730158734,18
Impressionism/camille-pissarro_pink-peonies-1873.jpg,camille pissarro,0.3280063492063492,24
Impressionism/wilhelm-leibl_m-dchen-am-fenster-1899.jpg,wilhelm leibl,0.2861714285714286,12
Impressionism/nicolae-vermont_reading-1919.jpg,nicolae vermont,0.29810793650793654,21
Impressionism/max-slevogt_the-dancer-marietta-di-rigardo.jpg,max slevogt,0.36766666666666664,27
Impressionism/zinaida-serebriakova_in-the-studio-braz-france-1906.jpg,zinaida serebriakova,0.2727809523809524,13
Impressionism/pierre-auguste-renoir_wilhelm-muhlfeld-1910.jpg,pierre auguste renoir,0.33780634920634917,25
Impressionism/robert-julian-onderdonk_hudson-river-view-1912.jpg,robert julian onderdonk,0.25995873015873017,8
Impressionism/giuseppe-de-nittis_breakfast-in-the-garden-1883.jpg,giuseppe de nittis,0.25344126984126986,5
Impressionism/camille-pissarro_old-wingrower-in-moret-1902.jpg,camille pissarro,0.29617777777777776,18
Impressionism/pierre-auguste-renoir_algerian-woman-seated-1882.jpg,pierre auguste renoir,0.33113968253968246,25
Impressionism/pierre-auguste-renoir_roses-in-a-vase-1917.jpg,pierre auguste renoir,0.330984126984127,23
Impressionism/eugene-boudin_laundresses-on-the-banks-of-the-touques-1.jpg,eugene boudin,0.29015873015873017,15
Impressionism/alfred-sisley_the-island-of-saint-denis-1872.jpg,alfred sisley,0.2664888888888889,8
Impressionism/nicolae-vermont_summer-day-1895.jpg,nicolae vermont,0.293968253968254,16
Impressionism/pierre-auguste-renoir_girl-and-cat-1882.jpg,pierre auguste renoir,0.2754825396825397,12
Impressionism/pierre-auguste-renoir_marie-louise-durand-ruel-1898.jpg,pierre auguste renoir,0.3111555555555556,15
Impressionism/john-henry-twachtman_the-portico.jpg,john henry twachtman,0.2691238095238095,11
Impressionism/camille-pissarro_the-pont-neuf-afternoon-1901.jpg,camille pissarro,0.3261873015873016,21
Impressionism/childe-hassam_home-sweet-home-cottage.jpg,childe hassam,0.3258888888888889,24
Impressionism/berthe-morisot_the-violin.jpg,berthe morisot,0.27253015873015873,10
Impressionism/pierre-auguste-renoir_nude-arranging-her-hair-1885.jpg,pierre auguste renoir,0.33293968253968254,21
Impressionism/valentin-serov_portrait-of-yevdokia-morozova-detail-1908.jpg,valentin serov,0.2829619047619048,8
Impressionism/edgar-degas_alexander-and-bucephalus-detail-1861-1.jpg,edgar degas,0.25629523809523813,10
Impressionism/arthur-verona_neagoe-basarab-study.jpg,arthur verona,0.2837428571428572,14
Impressionism/edgar-degas_dancer-seated-study-1872.jpg,edgar degas,0.28333968253968256,12
Impressionism/claude-monet_boats-in-the-port-of-honfleur-1.jpg,claude monet,0.27107619047619047,15
Impressionism/lovis-corinth_red-and-yellow-tulips-1918.jpg,lovis corinth,0.3239873015873016,21
Impressionism/istvan-nagy_little-girl-with-yellow-babushka-1917.jpg,istvan nagy,0.30863174603174603,14
Impressionism/pierre-auguste-renoir_portrait-of-stephane-mallarme-1892.jpg,pierre auguste renoir,0.3041904761904762,15
Impressionism/camille-pissarro_laundry-and-mill-at-osny-1884.jpg,camille pissarro,0.26612380952380954,9
