filename,artist,global_cosine_sim,global_anomaly_score
Impressionism/claude-monet_water-lily-pond-at-giverny-1919.jpg,claude monet,0.6224576,0.37754238
Impressionism/claude-monet_dandelions.jpg,claude monet,0.23221046,0.76778954
Impressionism/claude-monet_the-tea-set.jpg,claude monet,0.35763925,0.64236075
Impressionism/edgar-degas_seated-bather-1899.jpg,edgar degas,0.6629381,0.33706188
Impressionism/victor-brauner_theo-brauner.jpg,victor brauner,0.57060075,0.42939925
Impressionism/claude-monet_cliffs-near-pourville.jpg,claude monet,0.549513,0.45048702
Impressionism/cornelis-vreedenburgh_view-on-the-amstel.jpg,cornelis vreedenburgh,0.60612047,0.39387953
Impressionism/edouard-manet_lady-in-a-fur.jpg,edouard manet,0.5594752,0.44052482
Impressionism/claude-monet_zuiderkerk-in-amsterdam.jpg,claude monet,0.66068804,0.33931196
Impressionism/william-merritt-chase_sunlight-and-shadow-shinnecock-hills.jpg,william merritt chase,0.5781178,0.4218822
Impressionism/pierre-auguste-renoir_the-swimmer-sitting.jpg,pierre auguste renoir,0.52511394,0.47488606
Impressionism/guy-rose_the-bridge-at-vernon.jpg,guy rose,0.51631534,0.48368466
Impressionism/santiago-rusinol_la-butte.jpg,santiago rusinol,0.5038759,0.4961241
Impressionism/edgar-degas_the-tub-1886-1.jpg,edgar degas,0.46175423,0.5382458
Impressionism/childe-hassam_lady-in-the-park-aka-in-the-garden.jpg,childe hassam,0.49224997,0.50775003
Impressionism/camille-pissarro_pink-peonies-1873.jpg,camille pissarro,0.3841437,0.6158563
Impressionism/wilhelm-leibl_m-dchen-am-fenster-1899.jpg,wilhelm leibl,0.5197056,0.4802944
Impressionism/nicolae-vermont_reading-1919.jpg,nicolae vermont,0.5743015,0.42569852
Impressionism/max-slevogt_the-dancer-marietta-di-rigardo.jpg,max slevogt,0.519228,0.48077202
Impressionism/zinaida-serebriakova_in-the-studio-braz-france-1906.jpg,zinaida serebriakova,0.62601995,0.37398005
Impressionism/pierre-auguste-renoir_wilhelm-muhlfeld-1910.jpg,pierre auguste renoir,0.46921322,0.53078675
Impressionism/robert-julian-onderdonk_hudson-river-view-1912.jpg,robert julian onderdonk,0.6488447,0.35115528
Impressionism/giuseppe-de-nittis_breakfast-in-the-garden-1883.jpg,giuseppe de nittis,0.5115825,0.4884175
Impressionism/camille-pissarro_old-wingrower-in-moret-1902.jpg,camille pissarro,0.60919434,0.39080566
Impressionism/pierre-auguste-renoir_algerian-woman-seated-1882.jpg,pierre auguste renoir,0.6089387,0.3910613
Impressionism/pierre-auguste-renoir_roses-in-a-vase-1917.jpg,pierre auguste renoir,0.43583018,0.5641698
Impressionism/eugene-boudin_laundresses-on-the-banks-of-the-touques-1.jpg,eugene boudin,0.5427213,0.45727873
Impressionism/alfred-sisley_the-island-of-saint-denis-1872.jpg,alfred sisley,0.66018605,0.33981395
Impressionism/nicolae-vermont_summer-day-1895.jpg,nicolae vermont,0.7128272,0.2871728
Impressionism/pierre-auguste-renoir_girl-and-cat-1882.jpg,pierre auguste renoir,0.64926386,0.35073614
Impressionism/pierre-auguste-renoir_marie-louise-durand-ruel-1898.jpg,pierre auguste renoir,0.3629586,0.6370414
Impressionism/john-henry-twachtman_the-portico.jpg,john henry twachtman,0.6753706,0.32462943
Impressionism/camille-pissarro_the-pont-neuf-afternoon-1901.jpg,camille pissarro,0.6814045,0.31859553
