filename,artist,if_global_score,if_global_norm,if_global_flag
Realism/vasily-polenov_winter-imochentsy-1880.jpg,vasily polenov,-0.012189721713140034,0.6132928234725582,False
Realism/ivan-vladimirov_the-soldier-on-the-position-1916.jpg,ivan vladimirov,-0.026806435948257046,0.498133840125819,False
Realism/aleksey-savrasov_type-of-kiev-from-the-dnieper-to-the-pechersk-lavra-1852.jpg,aleksey savrasov,-0.0027117883334144555,0.6879654998812575,False
Realism/salvador-dali_portrait-of-the-marquis-de-cuevas.jpg,salvador dali,-0.0666428472162246,0.18427940280090374,False
Realism/constantin-stahi_queen-elizabeth-and-princess-m-rioara-1877.jpg,constantin stahi,-0.05113004764632889,0.306498268039369,False
Realism/viktor-vasnetsov_pond-in-ochtir-1880.jpg,viktor vasnetsov,-0.046986657309974256,0.33914230903710174,False
Realism/pavel-fedotov_andrey-grigoriy-and-alexander-druzhinin.jpg,pavel fedotov,-0.035000970208630355,0.43357252906471794,False
Realism/henri-fantin-latour_daisies-1872.jpg,henri fantin latour,0.0021014525751942292,0.7258870136169931,True
Realism/john-singer-sargent_mrs-walter-bacon-virginia-purdy-barker-1896.jpg,john singer sargent,-0.07028340531810684,0.15559696685232016,False
Realism/jean-francois-millet_puy-de-dome.jpg,jean francois millet,-0.041545307353926364,0.3820124314799986,False
Realism/david-burliuk_an-actor-1938.jpg,david burliuk,-0.05798308039681055,0.2525060867807841,False
Impressionism/wilhelm-leibl_strickende-m-dchen-auf-der-ofenbank-1895.jpg,wilhelm leibl,-0.06382358109796021,0.20649122241650666,False
Realism/vincent-van-gogh_scheveningen-road-1882.jpg,vincent van gogh,-0.05320869305185033,0.29012148952487116,False
Realism/nicholas-roerich_skulls-1901.jpg,nicholas roerich,-0.0559328120682096,0.2686592941645921,False
Realism/vasily-surikov_fourth-ecumenical-council-of-chalcedon-1876.jpg,vasily surikov,-0.050400979343497854,0.3122422925303618,False
Realism/vasily-vereshchagin_letter-remained-unfinished-1901.jpg,vasily vereshchagin,-0.04904658068362183,0.32291303358807394,False
Realism/ivan-shishkin_pine-forest-1885-1.jpg,ivan shishkin,0.001700049912222834,0.7227245297757613,True
Realism/ivan-shishkin_pines-1892.jpg,ivan shishkin,-0.029456125825485346,0.4772580408499009,False
Realism/charles-francois-daubigny_the-banks-of-the-oise-1877.jpg,charles francois daubigny,-0.040930900564299766,0.386853085823828,False
Realism/alexey-bogolyubov_view-of-moscow-from-the-house-of-g-i-chludov-1878.jpg,alexey bogolyubov,-0.04692297312122623,0.33964405014755356,False
Realism/thomas-eakins_anatomical-studies.jpg,thomas eakins,-0.0036020138296330995,0.6809517852088051,False
Realism/vincent-van-gogh_vase-with-flowers.jpg,vincent van gogh,-0.01570063106645725,0.5856318358355969,False
Realism/vincent-van-gogh_still-life-with-scabiosa-and-ranunculus-1886.jpg,vincent van gogh,-0.054523010491782764,0.27976653164973714,False
Realism/john-singer-sargent_my-dining-room.jpg,john singer sargent,-0.029036453104661075,0.48056446684216475,False
Realism/vincent-van-gogh_church-pew-with-worshippers-1882(1).jpg,vincent van gogh,-0.04753612929182466,0.3348132489084316,False
Realism/james-tissot_in-church.jpg,james tissot,-0.03503582999619781,0.4332978833658709,False
Realism/isaac-levitan_at-twilight-river-istra-1885.jpg,isaac levitan,-0.040179403407887226,0.39277381787949855,False
Impressionism/theo-van-rysselberghe_spaarnwoude-island-1883.jpg,theo van rysselberghe,-0.05946532721460801,0.24082808351268994,False
Realism/vincent-van-gogh_still-life-with-basket-of-apples-1885.jpg,vincent van gogh,-8.653888499698947e-05,0.7086487432318739,False
Realism/boris-kustodiev_portrait-of-elizabeth-pushkina.jpg,boris kustodiev,-0.06232268825065734,0.2183161299591701,False
Realism/odilon-redon_wildflowers-in-a-long-necked-vase.jpg,odilon redon,-0.04216982625606136,0.3770921080274198,False
Realism/john-singer-sargent_mrs-ernest-g-raphael-florence-cecilia-sassoon-1905.jpg,john singer sargent,-0.0543319491940531,0.2812718237728188,False
Realism/vasily-vereshchagin_retired-butler-1888.jpg,vasily vereshchagin,-0.03209059600457442,0.4565021512155319,False
Realism/william-adolphe-bouguereau_psyche-and-amour-1889.jpg,william adolphe bouguereau,-0.01792574233145572,0.5681011140202266,False
Realism/mihaly-munkacsy_milton-1878.jpg,mihaly munkacsy,-0.07080527111040807,0.15148540435488386,False
Realism/ivan-shishkin_cape-ai-todor-crimea-1879.jpg,ivan shishkin,-0.04703091285645872,0.33879363808009827,False
Realism/ilya-repin_street-in-tiflis-1881.jpg,ilya repin,-0.03830334514456185,0.4075544969588464,False
Realism/henri-fantin-latour_vase-of-peonies-1875.jpg,henri fantin latour,-0.027009557917502813,0.4965335270118408,False
Realism/vincent-van-gogh_the-potato-eaters-1885-1.jpg,vincent van gogh,-0.05768706191480094,0.25483829269873054,False
Realism/ilya-repin_zaporozhets.jpg,ilya repin,-0.05089250409525936,0.30836977441225955,False
Realism/ivan-kramskoy_portrait-of-the-photographer-andrey-denier-1883.jpg,ivan kramskoy,-0.0073730793722340815,0.651241135671955,False
Realism/volodymyr-orlovsky_sunset-over-the-river-1890.jpg,volodymyr orlovsky,-0.051622452165782706,0.30261881859926115,False
Realism/camille-corot_the-bridge-at-nantes-1870.jpg,camille corot,-0.02562723980873516,0.5074242337402395,False
Realism/isaac-levitan_landscare-distant-view.jpg,isaac levitan,-0.03026704071359465,0.47086918131599526,False
Realism/arkhip-kuindzhi_forgotten-village-1873.jpg,arkhip kuindzhi,-0.057472174440564294,0.25653130130989893,False
Realism/vasily-surikov_the-good-samaritan-1874.jpg,vasily surikov,-0.07123699742673795,0.14808401312065322,False
Realism/john-singer-sargent_nude-1.jpg,john singer sargent,-0.032104600222772894,0.4563918178325047,False
Realism/vasily-surikov_wanderer.jpg,vasily surikov,-0.03259733549652116,0.4525097625175283,False
Realism/vasily-perov_shy-girl-study-for-the-painting-the-janitor-who-gives-an-apartment-to-her-mistress-1864.jpg,vasily perov,-0.0454800527567612,0.3510122167237929,False
Realism/edgar-degas_a-roman-beggar-woman-1857.jpg,edgar degas,-0.021351142631895137,0.541113816477903,False
Impressionism/vasily-surikov_maria-s-head.jpg,vasily surikov,-0.05136794090797564,0.3046240064429795,False
Realism/vasily-surikov_head-of-khakasy-1893.jpg,vasily surikov,-0.026555042136612694,0.5001144669139567,False
Impressionism/frederic-remington_what-an-unbranded-cow-has-cost-1895.jpg,frederic remington,-0.01103574324003126,0.6223845376314049,False
Realism/vasily-perov_court-pugacheva-1875.jpg,vasily perov,-0.043993794214476856,0.36272182669267805,False
Realism/vincent-van-gogh_still-life-with-clogs-and-pots-1884.jpg,vincent van gogh,-0.01833053140251184,0.5649119500848258,False
Realism/theodore-rousseau_not_detected_198951.jpg,theodore rousseau,-0.0368147684665599,0.41928237055033546,False
Realism/pyotr-konchalovsky_in-the-cathedral-of-yuryev-abbot-bessarion-1926.jpg,pyotr konchalovsky,-0.028767818492126507,0.48268092669583706,False
Realism/thomas-eakins_mrs-richard-day.jpg,thomas eakins,-0.0548987382866285,0.27680632936531446,False
Realism/camille-corot_the-lac-de-nemi.jpg,camille corot,-0.022694588822903372,0.5305293653455231,False
Realism/ilya-repin_n-wentzell-1879.jpg,ilya repin,-0.06757602512983207,0.17692728398103358,False
Realism/edouard-manet_polichinelle-1873.jpg,edouard manet,-0.04394795541974528,0.36308297140100426,False
Realism/aleksey-savrasov_type-in-the-swiss-alps-mount-small-ruhen-1862.jpg,aleksey savrasov,0.026937309179265623,0.9215583492581365,True
Realism/vasily-polenov_what-people-think-about-me.jpg,vasily polenov,-0.027160786495764755,0.4953420602399327,False
Realism/vladimir-makovsky_at-the-boulevard-1887.jpg,vladimir makovsky,-0.026687091247368455,0.4990741071517099,False
Realism/vincent-van-gogh_woman-with-shawl-sewing-1883.jpg,vincent van gogh,-0.07108133509362569,0.1493104115942255,False
