filename,artist,gmm_neg_loglik,gmm_anomaly_score
Realism/vasily-polenov_winter-imochentsy-1880.jpg,vasily polenov,-1311.374265439784,0.43909286541143167
Realism/ivan-vladimirov_the-soldier-on-the-position-1916.jpg,ivan vladimirov,-568.9135097662736,0.5963430795930922
Realism/aleksey-savrasov_type-of-kiev-from-the-dnieper-to-the-pechersk-lavra-1852.jpg,aleksey savrasov,-1962.5867308458485,0.30116867362034183
Realism/salvador-dali_portrait-of-the-marquis-de-cuevas.jpg,salvador dali,-1254.5159206654444,0.4511352350928689
Realism/constantin-stahi_queen-elizabeth-and-princess-m-rioara-1877.jpg,constantin stahi,-1154.0657295294563,0.4724101832298838
Realism/viktor-vasnetsov_pond-in-ochtir-1880.jpg,viktor vasnetsov,-2731.8084259627435,0.13825059965347652
Realism/pavel-fedotov_andrey-grigoriy-and-alexander-druzhinin.jpg,pavel fedotov,-1176.4276753327777,0.4676740126778105
Realism/henri-fantin-latour_daisies-1872.jpg,henri fantin latour,-1390.640193222726,0.42230465940063905
Realism/john-singer-sargent_mrs-walter-bacon-virginia-purdy-barker-1896.jpg,john singer sargent,-1184.8235436753027,0.4658958013918747
Realism/jean-francois-millet_puy-de-dome.jpg,jean francois millet,-327.2035188640151,0.6475362875152377
Realism/david-burliuk_an-actor-1938.jpg,david burliuk,-1610.1736654178173,0.37580834931431545
Impressionism/wilhelm-leibl_strickende-m-dchen-auf-der-ofenbank-1895.jpg,wilhelm leibl,-888.8341472342777,0.5285851699951076
Realism/vincent-van-gogh_scheveningen-road-1882.jpg,vincent van gogh,-1475.8762955952952,0.4042519943248429
Realism/nicholas-roerich_skulls-1901.jpg,nicholas roerich,-1379.224810583331,0.42472239172021753
Realism/vasily-surikov_fourth-ecumenical-council-of-chalcedon-1876.jpg,vasily surikov,-1811.0193575681096,0.3332700361890011
Realism/vasily-vereshchagin_letter-remained-unfinished-1901.jpg,vasily vereshchagin,-321.27475774798313,0.6487919753724124
Realism/ivan-shishkin_pine-forest-1885-1.jpg,ivan shishkin,-2835.8923825612724,0.11620603454626616
Realism/ivan-shishkin_pines-1892.jpg,ivan shishkin,-2808.386070311429,0.12203176130634492
Realism/charles-francois-daubigny_the-banks-of-the-oise-1877.jpg,charles francois daubigny,-1774.6270210672571,0.34097778729315054
Realism/alexey-bogolyubov_view-of-moscow-from-the-house-of-g-i-chludov-1878.jpg,alexey bogolyubov,-2263.7057399380665,0.23739287360385883
Realism/thomas-eakins_anatomical-studies.jpg,thomas eakins,-1779.5114432292298,0.3399432862434255
Realism/vincent-van-gogh_vase-with-flowers.jpg,vincent van gogh,-1252.8958211240063,0.45147836568656013
Realism/vincent-van-gogh_still-life-with-scabiosa-and-ranunculus-1886.jpg,vincent van gogh,-1337.8045354748112,0.4334950400824459
Realism/john-singer-sargent_my-dining-room.jpg,john singer sargent,-1153.015336504558,0.47263265226528806
Realism/vincent-van-gogh_church-pew-with-worshippers-1882(1).jpg,vincent van gogh,-1642.6656074982716,0.3689266861256737
Realism/james-tissot_in-church.jpg,james tissot,-1346.1582323546545,0.43172576054339146
Realism/isaac-levitan_at-twilight-river-istra-1885.jpg,isaac levitan,-3137.3292567322414,0.05236291197928804
Impressionism/theo-van-rysselberghe_spaarnwoude-island-1883.jpg,theo van rysselberghe,-1247.1883342704366,0.45268718854124257
Realism/vincent-van-gogh_still-life-with-basket-of-apples-1885.jpg,vincent van gogh,-959.3938811020469,0.5136409009835523
Realism/boris-kustodiev_portrait-of-elizabeth-pushkina.jpg,boris kustodiev,-1368.5249743982808,0.42698857416683256
Realism/odilon-redon_wildflowers-in-a-long-necked-vase.jpg,odilon redon,-935.9627111065449,0.5186035289368333
Realism/john-singer-sargent_mrs-ernest-g-raphael-florence-cecilia-sassoon-1905.jpg,john singer sargent,-1094.6518632644024,0.48499380212710763
Realism/vasily-vereshchagin_retired-butler-1888.jpg,vasily vereshchagin,-2209.124346964872,0.24895299401397036
Realism/william-adolphe-bouguereau_psyche-and-amour-1889.jpg,william adolphe bouguereau,-1171.1977681329545,0.46878168607473825
Realism/mihaly-munkacsy_milton-1878.jpg,mihaly munkacsy,-1180.2322984572634,0.4668682087391725
